osc_0,osc_1,osc_2,osc_3,osc_4,osc_5,osc_6,osc_7
0.39715592757794127,0.39670905842434934,0.39579671874054867,0.3943824484914593,0.3941889015208755,0.3957803405243432,0.3946917574654485,0.39474580404528226
0.39713532680627495,0.3958207313193185,0.3956697119801511,0.3949454710136635,0.39476174519803564,0.39572067648787623,0.3946733895325405,0.3947239044530093
0.3971148647307743,0.39493179543361734,0.3955427868540973,0.3955087711092098,0.395334800212499,0.3956611369470231,0.39465490800383307,0.394701893499283
0.39709455847116715,0.3940432039811981,0.3954160763201209,0.3960717453481255,0.39590745741722166,0.3956017831193037,0.3946363351122528,0.39467979702099143
0.39707442514655966,0.39315591017565765,0.395289713335778,0.39663379030012713,0.3964791076650709,0.3955426762219716,0.3946176930903711,0.39465764085488964
0.3970544818761468,0.392270867230593,0.39516383085880236,0.39719430253484234,0.39704914180895834,0.39548387747210256,0.3945990041710701,0.39463545083773255
0.39703474577956754,0.39138902835995637,0.3950385618465724,0.39775267862216523,0.3976169507016625,0.3954254480869501,0.39458029058709876,0.3946132528061863
0.3970152339761057,0.39051134677725585,0.3949140392569994,0.3983083151318567,0.3981819251961394,0.39536744928376777,0.3945615745711173,0.3945910725970503
0.3969959635850451,0.38963877569626604,0.39479039604755073,0.39886060863363326,0.3987434561453451,0.3953099422799866,0.39454287835596347,0.39456893604712384
0.3969769517254029,0.38877226833058387,0.3946677651756936,0.3994089556970781,0.3993009344018361,0.3952529882925049,0.39452422417425304,0.3945468689929399
0.39695821551690713,0.38791277789398393,0.3945462795994281,0.39995275289217425,0.3998537508188349,0.3951966485386649,0.3945056342589126,0.39452489727151985
0.39693977207875264,0.387061257600152,0.39442607227595516,0.4004913967886381,0.4004012962491199,0.39514098423563127,0.39448713084260234,0.39450304671944103
0.3969216385302232,0.38621866066277377,0.39430727616309724,0.4010242839562306,0.4009429615454696,0.3950860566008352,0.3944687361581156,0.3944813431734584
0.3969038319908691,0.3853859402956239,0.39419002421849925,0.40155081096462375,0.40147813756084005,0.3950319268514413,0.3944504724381126,0.3944598124704157
